Item,Subtype,Type
Scroll of Sound Burst,Scrolls,Magic
Scroll of Spiritual Weapon,Scrolls,Magic
Scroll of Status,Scrolls,Magic
Scroll of Summon Monster II (Divine),Scrolls,Magic
Scroll of Undetectable Alignment,Scrolls,Magic
Scroll of Zone of Truth,Scrolls,Magic
Scroll of Animate Dead (Divine),Scrolls,Magic
Scroll of Bestow Curse (Divine),Scrolls,Magic
Scroll of Blindness/Deafness (Divine),Scrolls,Magic
Scroll of Contagion (Divine),Scrolls,Magic
Scroll of Continual Flame (Divine),Scrolls,Magic
Scroll of Create Food and Water,Scrolls,Magic
Scroll of Cure Serious Wounds,Scrolls,Magic
Scroll of Daylight (Divine),Scrolls,Magic
Scroll of Deeper Darkness,Scrolls,Magic
Scroll of Dispel Magic (Divine),Scrolls,Magic
Scroll of Glyph of Warding,Scrolls,Magic
Scroll of Helping Hand,Scrolls,Magic
Scroll of Inflict Serious Wounds,Scrolls,Magic
Scroll of Invisibility Purge,Scrolls,Magic
Scroll of Locate Object (Divine),Scrolls,Magic
Scroll of Magic Circle Against Chaos (Divine),Scrolls,Magic
Scroll of Magic Circle Against Evil (Divine),Scrolls,Magic
Scroll of Magic Circle Against Good (Divine),Scrolls,Magic
Scroll of Magic Circle Against Law (Divine),Scrolls,Magic
Scroll of Magic Vestment,Scrolls,Magic
Scroll of Meld into Stone,Scrolls,Magic
Scroll of Obscure Object (Divine),Scrolls,Magic
Scroll of Prayer,Scrolls,Magic
Scroll of Protection from Energy (Divine),Scrolls,Magic
Scroll of Remove Blindness/Deafness,Scrolls,Magic
Scroll of Remove Curse (Divine),Scrolls,Magic
Scroll of Remove Disease,Scrolls,Magic
Scroll of Searing Light,Scrolls,Magic
Scroll of Speak with Dead,Scrolls,Magic
Scroll of Stone Shape (Divine),Scrolls,Magic
Scroll of Summon Monster III (Divine),Scrolls,Magic
Scroll of Water Breathing (Divine),Scrolls,Magic
Scroll of Water Walk,Scrolls,Magic
Scroll of Wind Wall (Divine),Scrolls,Magic
Scroll of Air Walk,Scrolls,Magic
Scroll of Chaos Hammer,Scrolls,Magic
Scroll of Control Water (Divine),Scrolls,Magic
Scroll of Cure Critical Wounds,Scrolls,Magic
Scroll of Death Ward,Scrolls,Magic
Scroll of Dimensional Anchor (Divine),Scrolls,Magic
Scroll of Discern Lies,Scrolls,Magic
Scroll of Dismissal (Divine),Scrolls,Magic
Scroll of Divination,Scrolls,Magic
Scroll of Divine Power,Scrolls,Magic
Scroll of Freedom of Movement,Scrolls,Magic
Scroll of Giant Vermin,Scrolls,Magic
Scroll of Holy Smite,Scrolls,Magic
Scroll of Imbue with Spell Ability,Scrolls,Magic
Scroll of Inflict Critical Wounds,Scrolls,Magic
"Scroll of Magic Weapon, Greater (Divine)",Scrolls,Magic
Scroll of Neutralize Poison,Scrolls,Magic
Scroll of Order's Wrath,Scrolls,Magic
"Scroll of Planar Ally, Lesser",Scrolls,Magic
Scroll of Poison,Scrolls,Magic
Scroll of Repel Vermin (Divine),Scrolls,Magic
Scroll of Restoration,Scrolls,Magic
Scroll of Sending (Divine),Scrolls,Magic
Scroll of Spell Immunity,Scrolls,Magic
Scroll of Summon Monster IV (Divine),Scrolls,Magic
Scroll of Tongues (Divine),Scrolls,Magic
Scroll of Unholy Blight,Scrolls,Magic
Scroll of Atonement,Scrolls,Magic
Scroll of Break Enchantment (Divine),Scrolls,Magic
Scroll of Breath of Life,Scrolls,Magic
"Scroll of Command, Greater",Scrolls,Magic
Scroll of Commune,Scrolls,Magic
"Scroll of Cure Light Wounds, Mass",Scrolls,Magic
Scroll of Dispel Chaos,Scrolls,Magic
Scroll of Dispel Evil,Scrolls,Magic
Scroll of Dispel Good,Scrolls,Magic
Scroll of Dispel Law,Scrolls,Magic
Scroll of Disrupting Weapon,Scrolls,Magic
Scroll of Flame Strike,Scrolls,Magic
Scroll of Hallow,Scrolls,Magic
"Scroll of Inflict Light Wounds, Mass",Scrolls,Magic
Scroll of Insect Plague,Scrolls,Magic
Scroll of Mark of Justice,Scrolls,Magic
Scroll of Plane Shift (Divine),Scrolls,Magic
Scroll of Raise Dead,Scrolls,Magic
Scroll of Righteous Might,Scrolls,Magic
Scroll of Scrying (Divine),Scrolls,Magic
Scroll of Slay Living,Scrolls,Magic
Scroll of Spell Resistance,Scrolls,Magic
Scroll of Summon Monster V (Divine),Scrolls,Magic
Scroll of Symbol of Pain (Divine),Scrolls,Magic
Scroll of Symbol of Sleep (Divine),Scrolls,Magic
Scroll of True Seeing (Divine),Scrolls,Magic
Scroll of Unhallow,Scrolls,Magic
Scroll of Wall of Stone (Divine),Scrolls,Magic
Scroll of Animate Objects (Divine),Scrolls,Magic
Scroll of Antilife Shell,Scrolls,Magic
Scroll of Banishment (Divine),Scrolls,Magic
"Scroll of Bear's Endurance, Mass (Divine)",Scrolls,Magic
Scroll of Blade Barrier,Scrolls,Magic
"Scroll of Bull's Strength, Mass (Divine)",Scrolls,Magic
"Scroll of Cat's Grace, Mass (Divine)",Scrolls,Magic
Scroll of Create Undead (Divine),Scrolls,Magic
"Scroll of Cure Moderate Wounds, Mass",Scrolls,Magic
"Scroll of Dispel Magic, Greater (Divine)",Scrolls,Magic
"Scroll of Eagle's Splendor, Mass (Divine)",Scrolls,Magic
Scroll of Find the Path,Scrolls,Magic
Scroll of Forbiddance,Scrolls,Magic
Scroll of Geas/Quest (Divine),Scrolls,Magic
"Scroll of Glyph of Warding, Greater",Scrolls,Magic
Scroll of Harm,Scrolls,Magic
Scroll of Heal,Scrolls,Magic
Scroll of Heroes' Feast,Scrolls,Magic
"Scroll of Inflict Moderate Wounds, Mass",Scrolls,Magic
"Scroll of Owl's Wisdom, Mass (Divine)",Scrolls,Magic
Scroll of Planar Ally,Scrolls,Magic
Scroll of Summon Monster VI (Divine),Scrolls,Magic
Scroll of Symbol of Fear (Divine),Scrolls,Magic
Scroll of Symbol of Persuasion (Divine),Scrolls,Magic
Scroll of Undeath to Death (Divine),Scrolls,Magic
Scroll of Wind Walk,Scrolls,Magic
Scroll of Word of Recall,Scrolls,Magic
Scroll of Blasphemy,Scrolls,Magic
Scroll of Control Weather (Divine),Scrolls,Magic
"Scroll of Cure Serious Wounds, Mass",Scrolls,Magic
Scroll of Destruction,Scrolls,Magic
Scroll of Dictum,Scrolls,Magic
Scroll of Ethereal Jaunt (Divine),Scrolls,Magic
Scroll of Holy Word,Scrolls,Magic
"Scroll of Inflict Serious Wounds, Mass",Scrolls,Magic
Scroll of Refuge (Divine),Scrolls,Magic
Scroll of Regenerate,Scrolls,Magic
Scroll of Repulsion (Divine),Scrolls,Magic
"Scroll of Restoration, Greater",Scrolls,Magic
Scroll of Resurrection,Scrolls,Magic
"Scroll of Scrying, Greater (Divine)",Scrolls,Magic
Scroll of Summon Monster VII (Divine),Scrolls,Magic
Scroll of Symbol of Stunning (Divine),Scrolls,Magic
Scroll of Symbol of Weakness (Divine),Scrolls,Magic
Scroll of Word of Chaos,Scrolls,Magic
Scroll of Antimagic Field (Divine),Scrolls,Magic
Scroll of Cloak of Chaos,Scrolls,Magic
"Scroll of Create Undead, Greater (Divine)",Scrolls,Magic
"Scroll of Cure Critical Wounds, Mass",Scrolls,Magic
Scroll of Dimensional Lock (Divine),Scrolls,Magic
Scroll of Discern Location (Divine),Scrolls,Magic
Scroll of Earthquake,Scrolls,Magic
Scroll of Fire Storm,Scrolls,Magic
Scroll of Holy Aura,Scrolls,Magic
"Scroll of Inflict Critical Wounds, Mass",Scrolls,Magic
"Scroll of Planar Ally, Greater",Scrolls,Magic
Scroll of Shield of Law,Scrolls,Magic
"Scroll of Spell Immunity, Greater",Scrolls,Magic
Scroll of Summon Monster VIII (Divine),Scrolls,Magic
Scroll of Symbol of Death (Divine),Scrolls,Magic
Scroll of Symbol of Insanity (Divine),Scrolls,Magic
Scroll of Unholy Aura,Scrolls,Magic
Scroll of Astral Projection (Divine),Scrolls,Magic
Scroll of Energy Drain (Divine),Scrolls,Magic
Scroll of Etherealness (Divine),Scrolls,Magic
Scroll of Gate (Divine),Scrolls,Magic
"Scroll of Heal, Mass",Scrolls,Magic
Scroll of Implosion,Scrolls,Magic
Scroll of Miracle,Scrolls,Magic
Scroll of Soul Bind (Divine),Scrolls,Magic
Scroll of Storm of Vengeance,Scrolls,Magic
Scroll of Summon Monster IX (Divine),Scrolls,Magic
Scroll of True Resurrection,Scrolls,Magic
Wand of Acid Splash,Wands,Magic
Wand of Arcane Mark,Wands,Magic
Wand of Bleed,Wands,Magic
Wand of Create Water,Wands,Magic
Wand of Dancing Lights,Wands,Magic
Wand of Daze,Wands,Magic
Wand of Detect Magic,Wands,Magic
Wand of Detect Poison,Wands,Magic
Wand of Disrupt Undead,Wands,Magic
Wand of Flare,Wands,Magic
Wand of Ghost Sound,Wands,Magic
Wand of Guidance,Wands,Magic
Wand of Know Direction,Wands,Magic
Wand of Light,Wands,Magic
Wand of Lullaby,Wands,Magic
Wand of Mage Hand,Wands,Magic
Wand of Mending,Wands,Magic
Wand of Message,Wands,Magic
Wand of Open/Close,Wands,Magic
Wand of Prestidigitation,Wands,Magic
Wand of Purify Food and Drink,Wands,Magic
Wand of Ray of Frost,Wands,Magic
Wand of Read Magic,Wands,Magic
Wand of Resistance,Wands,Magic
Wand of Stabilize,Wands,Magic
Wand of Summon Instrument,Wands,Magic
Wand of Touch of Fatigue,Wands,Magic
Wand of Virtue,Wands,Magic
Wand of Alarm,Wands,Magic
Wand of Bane,Wands,Magic
Wand of Bless,Wands,Magic
Wand of Bless Water,Wands,Magic
Wand of Bless Weapon,Wands,Magic
Wand of Burning Hands,Wands,Magic
Wand of Calm Animals,Wands,Magic
Wand of Cause Fear,Wands,Magic
Wand of Charm Animal,Wands,Magic
Wand of Charm Person,Wands,Magic
Wand of Chill Touch,Wands,Magic
Wand of Color Spray,Wands,Magic
Wand of Command,Wands,Magic
Wand of Comprehend Languages,Wands,Magic
"Wand of Confusion, Lesser",Wands,Magic
Wand of Cure Light Wounds,Wands,Magic
Wand of Curse Water,Wands,Magic
Wand of Deathwatch,Wands,Magic
Wand of Detect Chaos,Wands,Magic
Wand of Detect Evil,Wands,Magic
Wand of Detect Good,Wands,Magic
Wand of Detect Law,Wands,Magic
Wand of Detect Secret Doors,Wands,Magic
Wand of Detect Snares and Pits,Wands,Magic
Wand of Detect Undead,Wands,Magic
Wand of Disguise Self,Wands,Magic
Wand of Divine Favor,Wands,Magic
Wand of Doom,Wands,Magic
Wand of Endure Elements,Wands,Magic
Wand of Enlarge Person,Wands,Magic
Wand of Entangle,Wands,Magic
Wand of Entropic Shield,Wands,Magic
Wand of Erase,Wands,Magic
Wand of Expeditious Retreat,Wands,Magic
Wand of Faerie Fire,Wands,Magic
Wand of Feather Fall,Wands,Magic
Wand of Floating Disk,Wands,Magic
Wand of Goodberry,Wands,Magic
Wand of Grease,Wands,Magic
Wand of Hide from Animals,Wands,Magic
Wand of Hide from Undead,Wands,Magic
Wand of Hold Portal,Wands,Magic
Wand of Hypnotism,Wands,Magic
Wand of Identify,Wands,Magic
Wand of Inflict Light Wounds,Wands,Magic
Wand of Jump,Wands,Magic
Wand of Longstrider,Wands,Magic
Wand of Mage Armor,Wands,Magic
Wand of Magic Fang,Wands,Magic
Wand of Magic Missile,Wands,Magic
Wand of Magic Stone,Wands,Magic
Wand of Magic Weapon,Wands,Magic
Wand of Mount,Wands,Magic
Wand of Obscuring Mist,Wands,Magic
Wand of Pass without Trace,Wands,Magic
Wand of Produce Flame,Wands,Magic
Wand of Protection from Chaos,Wands,Magic
Wand of Protection from Evil,Wands,Magic
Wand of Protection from Good,Wands,Magic
Wand of Protection from Law,Wands,Magic
Wand of Ray of Enfeeblement,Wands,Magic
Wand of Reduce Person,Wands,Magic
Wand of Remove Fear,Wands,Magic
Wand of Sanctuary,Wands,Magic
Wand of Shield,Wands,Magic
Wand of Shield of Faith,Wands,Magic
Wand of Shillelagh,Wands,Magic
Wand of Shocking Grasp,Wands,Magic
Wand of Silent Image,Wands,Magic
Wand of Sleep,Wands,Magic
Wand of Summon Monster I,Wands,Magic
Wand of Summon Nature's Ally I,Wands,Magic
Wand of True Strike,Wands,Magic
Wand of Unseen Servant,Wands,Magic
Wand of Ventriloquism,Wands,Magic
Wand of Acid Arrow,Wands,Magic
Wand of Aid,Wands,Magic
Wand of Align Weapon,Wands,Magic
Wand of Alter Self,Wands,Magic
Wand of Animal Messenger,Wands,Magic
Wand of Animal Trance,Wands,Magic
Wand of Arcane Lock,Wands,Magic
Wand of Augury,Wands,Magic
Wand of Barkskin,Wands,Magic
Wand of Bear's Endurance,Wands,Magic
Wand of Blindness/Deafness,Wands,Magic
Wand of Blur,Wands,Magic
Wand of Bull's Strength,Wands,Magic
Wand of Calm Emotions,Wands,Magic
Wand of Cat's Grace,Wands,Magic
Wand of Chill Metal,Wands,Magic
Wand of Command Undead,Wands,Magic
Wand of Continual Flame,Wands,Magic
Wand of Cure Moderate Wounds,Wands,Magic
Wand of Darkness,Wands,Magic
Wand of Darkvision,Wands,Magic
Wand of Daze Monster,Wands,Magic
Wand of Death Knell,Wands,Magic
Wand of Delay Poison,Wands,Magic
Wand of Detect Thoughts,Wands,Magic
Wand of Eagle's Splendor,Wands,Magic
Wand of Enthrall,Wands,Magic
Wand of False Life,Wands,Magic
Wand of Find Traps,Wands,Magic
Wand of Flame Blade,Wands,Magic
Wand of Flaming Sphere,Wands,Magic
Wand of Fog Cloud,Wands,Magic
Wand of Fox's Cunning,Wands,Magic
Wand of Gentle Repose,Wands,Magic
Wand of Ghoul Touch,Wands,Magic
Wand of Glitterdust,Wands,Magic
Wand of Heat Metal,Wands,Magic
Wand of Hideous Laughter,Wands,Magic
Wand of Hold Animal,Wands,Magic
Wand of Hold Person,Wands,Magic
Wand of Hypnotic Pattern,Wands,Magic
Wand of Inflict Moderate Wounds,Wands,Magic
Wand of Invisibility,Wands,Magic
Wand of Knock,Wands,Magic
Wand of Levitate,Wands,Magic
Wand of Locate Object,Wands,Magic
Wand of Make Whole,Wands,Magic
Wand of Minor Image,Wands,Magic
Wand of Mirror Image,Wands,Magic
Wand of Misdirection,Wands,Magic
Wand of Obscure Object,Wands,Magic
Wand of Owl's Wisdom,Wands,Magic
Wand of Protection from Arrows,Wands,Magic
Wand of Pyrotechnics,Wands,Magic
Wand of Rage,Wands,Magic
Wand of Reduce Animal,Wands,Magic
Wand of Remove Paralysis,Wands,Magic
Wand of Resist Energy,Wands,Magic
"Wand of Restoration, Lesser",Wands,Magic
Wand of Rope Trick,Wands,Magic
Wand of Scare,Wands,Magic
Wand of Scorching Ray,Wands,Magic
Wand of See Invisibility,Wands,Magic
Wand of Shatter,Wands,Magic
Wand of Shield Other,Wands,Magic
Wand of Silence,Wands,Magic
Wand of Sound Burst,Wands,Magic
Wand of Spectral Hand,Wands,Magic
Wand of Spider Climb,Wands,Magic
Wand of Spiritual Weapon,Wands,Magic
Wand of Status,Wands,Magic
Wand of Summon Monster II,Wands,Magic
Wand of Summon Nature's Ally II,Wands,Magic
Wand of Summon Swarm,Wands,Magic
Wand of Touch of Idiocy,Wands,Magic
Wand of Tree Shape,Wands,Magic
Wand of Undetectable Alignment,Wands,Magic
Wand of Warp Wood,Wands,Magic
Wand of Web,Wands,Magic
Wand of Whispering Wind,Wands,Magic
Wand of Wood Shape,Wands,Magic
Wand of Zone of Truth,Wands,Magic
Wand of Animate Dead,Wands,Magic
Wand of Arcane Sight,Wands,Magic
Wand of Beast Shape I,Wands,Magic
Wand of Bestow Curse,Wands,Magic
Wand of Blink,Wands,Magic
Wand of Call Lightning,Wands,Magic
Wand of Clairaudience/Clairvoyance,Wands,Magic
Wand of Contagion,Wands,Magic
Wand of Create Food and Water,Wands,Magic
Wand of Cure Serious Wounds,Wands,Magic
Wand of Daylight,Wands,Magic
Wand of Deep Slumber,Wands,Magic
Wand of Deeper Darkness,Wands,Magic
Wand of Dispel Magic,Wands,Magic
Wand of Displacement,Wands,Magic
Wand of Dominate Animal,Wands,Magic
Wand of Explosive Runes,Wands,Magic
Wand of Fireball,Wands,Magic
Wand of Flame Arrow,Wands,Magic
Wand of Fly,Wands,Magic
Wand of Gaseous Form,Wands,Magic
Wand of Glibness,Wands,Magic
Wand of Good Hope,Wands,Magic
Wand of Haste,Wands,Magic
Wand of Heal Mount,Wands,Magic
Wand of Heroism,Wands,Magic
Wand of Inflict Serious Wounds,Wands,Magic
Wand of Invisibility Purge,Wands,Magic
Wand of Invisibility Sphere,Wands,Magic
Wand of Keen Edge,Wands,Magic
Wand of Lightning Bolt,Wands,Magic
Wand of Magic Circle Against Chaos,Wands,Magic
Wand of Magic Circle Against Evil,Wands,Magic
Wand of Magic Circle Against Good,Wands,Magic
Wand of Magic Circle Against Law,Wands,Magic
"Wand of Magic Fang, Greater",Wands,Magic
Wand of Magic Vestment,Wands,Magic
"Wand of Magic Weapon, Greater",Wands,Magic
Wand of Major Image,Wands,Magic
Wand of Meld into Stone,Wands,Magic
Wand of Nondetection,Wands,Magic
Wand of Prayer,Wands,Magic
Wand of Protection from Energy,Wands,Magic
Wand of Ray of Exhaustion,Wands,Magic
Wand of Remove Blindness/Deafness,Wands,Magic
Wand of Remove Curse,Wands,Magic
Wand of Remove Disease,Wands,Magic
Wand of Sculpt Sound,Wands,Magic
Wand of Searing Light,Wands,Magic
Wand of Sleet Storm,Wands,Magic
Wand of Slow,Wands,Magic
Wand of Snare,Wands,Magic
Wand of Speak with Dead,Wands,Magic
Wand of Speak with Plants,Wands,Magic
Wand of Spike Growth,Wands,Magic
Wand of Stinking Cloud,Wands,Magic
Wand of Stone Shape,Wands,Magic
Wand of Suggestion,Wands,Magic
Wand of Summon Monster III,Wands,Magic
Wand of Summon Nature's Ally III,Wands,Magic
Wand of Tongues,Wands,Magic
Wand of Vampiric Touch,Wands,Magic
Wand of Water Breathing,Wands,Magic
Wand of Water Walk,Wands,Magic
Wand of Wind Wall,Wands,Magic
Wand of Air Walk,Wands,Magic
Wand of Animal Growth,Wands,Magic
Wand of Antiplant Shell,Wands,Magic
Wand of Arcane Eye,Wands,Magic
Wand of Beast Shape II,Wands,Magic
Wand of Black Tentacles,Wands,Magic
Wand of Break Enchantment,Wands,Magic
Wand of Chaos Hammer,Wands,Magic
Wand of Charm Monster,Wands,Magic
Wand of Commune with Nature,Wands,Magic
Wand of Confusion,Wands,Magic
Wand of Crushing Despair,Wands,Magic
Wand of Cure Critical Wounds,Wands,Magic
Wand of Death Ward,Wands,Magic
Wand of Detect Scrying,Wands,Magic
Wand of Dimension Door,Wands,Magic
Wand of Dimensional Anchor,Wands,Magic
Wand of Discern Lies,Wands,Magic
Wand of Dismissal,Wands,Magic
Wand of Dispel Chaos,Wands,Magic
Wand of Dispel Evil,Wands,Magic
Wand of Dispel Good,Wands,Magic
Wand of Dispel Law,Wands,Magic
Wand of Divination,Wands,Magic
Wand of Divine Power,Wands,Magic
Wand of Dominate Person,Wands,Magic
Wand of Elemental Body I,Wands,Magic
Wand of Enervation,Wands,Magic
"Wand of Enlarge Person, Mass",Wands,Magic
Wand of Fear,Wands,Magic
Wand of Fire Shield,Wands,Magic
Wand of Fire Trap,Wands,Magic
Wand of Flame Strike,Wands,Magic
Wand of Freedom of Movement,Wands,Magic
"Wand of Geas, Lesser",Wands,Magic
"Wand of Globe of Invulnerability, Lesser",Wands,Magic
Wand of Hallucinatory Terrain,Wands,Magic
Wand of Hold Monster,Wands,Magic
Wand of Holy Smite,Wands,Magic
Wand of Holy Sword,Wands,Magic
Wand of Ice Storm,Wands,Magic
Wand of Illusory Wall,Wands,Magic
Wand of Imbue with Spell Ability,Wands,Magic
Wand of Inflict Critical Wounds,Wands,Magic
"Wand of Invisibility, Greater",Wands,Magic
Wand of Legend Lore,Wands,Magic
Wand of Locate Creature,Wands,Magic
Wand of Modify Memory,Wands,Magic
Wand of Neutralize Poison,Wands,Magic
Wand of Order's Wrath,Wands,Magic
Wand of Phantasmal Killer,Wands,Magic
Wand of Poison,Wands,Magic
"Wand of Reduce Person, Mass",Wands,Magic
Wand of Reincarnate,Wands,Magic
Wand of Restoration,Wands,Magic
Wand of Rusting Grasp,Wands,Magic
Wand of Scrying,Wands,Magic
Wand of Sending,Wands,Magic
Wand of Shout,Wands,Magic
Wand of Solid Fog,Wands,Magic
Wand of Spell Immunity,Wands,Magic
Wand of Spike Stones,Wands,Magic
Wand of Summon Monster IV,Wands,Magic
Wand of Summon Nature's Ally IV,Wands,Magic
Wand of Unholy Blight,Wands,Magic
Wand of Wall of Fire,Wands,Magic
Wand of Wall of Ice,Wands,Magic
Wand of Zone of Silence,Wands,Magic
Wand of Animate Rope,Wands,Magic
Wand of Detect Animals or Plants,Wands,Magic
Wand of Magic Aura,Wands,Magic
Wand of Consecrate,Wands,Magic
Wand of Desecrate,Wands,Magic
Wand of Gust of Wind,Wands,Magic
Wand of Magic Mouth,Wands,Magic
Wand of Phantom Trap,Wands,Magic
Wand of Soften Earth and Stone,Wands,Magic
Wand of Diminish Plants,Wands,Magic
Wand of Glyph of Warding,Wands,Magic
Wand of Halt Undead,Wands,Magic
Wand of Helping Hand,Wands,Magic
Wand of Illusory Script,Wands,Magic
Wand of Phantom Steed,Wands,Magic
Wand of Plant Growth,Wands,Magic
Wand of Quench,Wands,Magic
Wand of Secret Page,Wands,Magic
Wand of Sepia Snake Sigil,Wands,Magic
Wand of Shrink Item,Wands,Magic
Wand of Tiny Hut,Wands,Magic
Wand of Blight,Wands,Magic
Wand of Command Plants,Wands,Magic
Wand of Control Water,Wands,Magic
Wand of Giant Vermin,Wands,Magic
Wand of Minor Creation,Wands,Magic
Wand of Mnemonic Enhancer,Wands,Magic
"Wand of Planar Ally, Lesser",Wands,Magic
Wand of Rainbow Pattern,Wands,Magic
Wand of Repel Vermin,Wands,Magic
Wand of Resilient Sphere,Wands,Magic
Wand of Secure Shelter,Wands,Magic
Wand of Shadow Conjuration,Wands,Magic
Amulet of Mighty Fists +1,Wonderous Items,Magic
Amulet of Mighty Fists +2,Wonderous Items,Magic
Amulet of Mighty Fists +3,Wonderous Items,Magic
Amulet of Mighty Fists +4,Wonderous Items,Magic
Amulet of Mighty Fists +5,Wonderous Items,Magic
Amulet of Natural Armor +1,Wonderous Items,Magic
Amulet of Natural Armor +2,Wonderous Items,Magic
Amulet of Natural Armor +3,Wonderous Items,Magic
Amulet of Natural Armor +4,Wonderous Items,Magic
Amulet of Natural Armor +5,Wonderous Items,Magic
Amulet of the Planes,Wonderous Items,Magic
Amulet of Proof Against Detection and Location,Wonderous Items,Magic
Apparatus of the Crab,Wonderous Items,Magic
Bag of Holding (Type I),Wonderous Items,Magic
Bag of Holding (Type II),Wonderous Items,Magic
Bag of Holding (Type III),Wonderous Items,Magic
Bag of Holding (Type IV),Wonderous Items,Magic
Bag of Tricks (Gray),Wonderous Items,Magic
Bag of Tricks (Rust),Wonderous Items,Magic
Bag of Tricks (Tan),Wonderous Items,Magic
Bead of Force,Wonderous Items,Magic
Belt of Dwarvenkind,Wonderous Items,Magic
Belt of Giant Strength +2,Wonderous Items,Magic
Belt of Giant Strength +4,Wonderous Items,Magic
Belt of Giant Strength +6,Wonderous Items,Magic
Belt of Incredible Dexterity +2,Wonderous Items,Magic
Belt of Incredible Dexterity +4,Wonderous Items,Magic
Belt of Incredible Dexterity +6,Wonderous Items,Magic
Belt of Mighty Constitution +2,Wonderous Items,Magic
Belt of Mighty Constitution +4,Wonderous Items,Magic
Belt of Mighty Constitution +6,Wonderous Items,Magic
"Belt of Physical Might +2 (Str, Dex)",Wonderous Items,Magic
"Belt of Physical Might +4 (Str, Dex)",Wonderous Items,Magic
"Belt of Physical Might +6 (Str, Dex)",Wonderous Items,Magic
"Belt of Physical Might +2 (Str, Con)",Wonderous Items,Magic
"Belt of Physical Might +4 (Str, Con)",Wonderous Items,Magic
"Belt of Physical Might +6 (Str, Con)",Wonderous Items,Magic
"Belt of Physical Might +2 (Dex, Con)",Wonderous Items,Magic
"Belt of Physical Might +4 (Dex, Con)",Wonderous Items,Magic
"Belt of Physical Might +6 (Dex, Con)",Wonderous Items,Magic
Belt of Physical Perfection +2,Wonderous Items,Magic
Belt of Physical Perfection +4,Wonderous Items,Magic
Belt of Physical Perfection +6,Wonderous Items,Magic
Blessed Book,Wonderous Items,Magic
Folding Boat,Wonderous Items,Magic
Boots of Elvenkind,Wonderous Items,Magic
Boots of Levitation,Wonderous Items,Magic
Boots of Speed,Wonderous Items,Magic
Boots of Striding And Springing,Wonderous Items,Magic
Boots of Teleportation,Wonderous Items,Magic
Boots of the Winterlands,Wonderous Items,Magic
Winged Boots,Wonderous Items,Magic
Bottle of Air,Wonderous Items,Magic
Bracelet of Friends,Wonderous Items,Magic
Greater Bracers of Archery,Wonderous Items,Magic
Lesser Bracers of Archery,Wonderous Items,Magic
Bracers of Armor +1,Wonderous Items,Magic
Bracers of Armor +2,Wonderous Items,Magic
Bracers of Armor +3,Wonderous Items,Magic
Bracers of Armor +4,Wonderous Items,Magic
Bracers of Armor +5,Wonderous Items,Magic
Bracers of Armor +6,Wonderous Items,Magic
Bracers of Armor +7,Wonderous Items,Magic
Bracers of Armor +8,Wonderous Items,Magic
"#Bracers of Armor: Need to make modifier for this. COST=PLUS*PLUS*1000, max PLUS w/o Epic is +8, must have +1 minimum.",Wonderous Items,Magic
Brooch of Shielding,Wonderous Items,Magic
Broom of Flying,Wonderous Items,Magic
Candle of Invocation (Lawful Good),Wonderous Items,Magic
Candle of Invocation (Neutral Good),Wonderous Items,Magic
Candle of Invocation (Chaotic Good),Wonderous Items,Magic
Candle of Invocation (Lawful Neutral),Wonderous Items,Magic
Candle of Invocation (Neutral),Wonderous Items,Magic
Candle of Invocation (Chaotic Neutral),Wonderous Items,Magic
Candle of Invocation (Lawful Evil),Wonderous Items,Magic
Candle of Invocation (Neutral Evil),Wonderous Items,Magic
Candle of Invocation (Chaotic Evil),Wonderous Items,Magic
Candle of Truth,Wonderous Items,Magic
Cape of the Mountebank,Wonderous Items,Magic
Carpet of Flying (5 ft. by 5 ft.),Wonderous Items,Magic
Carpet of Flying (5 ft. by 10 ft.),Wonderous Items,Magic
Carpet of Flying (10 ft. by 10 ft.),Wonderous Items,Magic
Chime of Interruption,Wonderous Items,Magic
Chime of Opening,Wonderous Items,Magic
Circlet of Persuasion,Wonderous Items,Magic
Cloak of Arachnida,Wonderous Items,Magic
Cloak of the Bat,Wonderous Items,Magic
Major Cloak of Displacement,Wonderous Items,Magic
Minor Cloak of Displacement,Wonderous Items,Magic
Cloak of Elvenkind,Wonderous Items,Magic
Cloak of Etherealness,Wonderous Items,Magic
Cloak of the Manta Ray,Wonderous Items,Magic
#Swim speed of 60 with PREAPPLY???,Wonderous Items,Magic
Cloak of Resistance +1,Wonderous Items,Magic
Cloak of Resistance +2,Wonderous Items,Magic
Cloak of Resistance +3,Wonderous Items,Magic
Cloak of Resistance +4,Wonderous Items,Magic
Cloak of Resistance +5,Wonderous Items,Magic
Minor Crown of Blasting,Wonderous Items,Magic
Major Crown of Blasting,Wonderous Items,Magic
Crystal Ball,Wonderous Items,Magic
Crystal Ball (See Invisibility),Wonderous Items,Magic
Crystal Ball (Detect Thoughts),Wonderous Items,Magic
Crystal Ball (Telepathy),Wonderous Items,Magic
Crystal Ball (True Seeing),Wonderous Items,Magic
Cube of Force,Wonderous Items,Magic
Cube of Frost Resistance,Wonderous Items,Magic
Cubic Gate,Wonderous Items,Magic
Darkskull,Wonderous Items,Magic
Decanter of Endless Water,Wonderous Items,Magic
Deck of Illusions,Wonderous Items,Magic
Dimensional Shackles,Wonderous Items,Magic
Drums of Panic,Wonderous Items,Magic
Dust of Appearance,Wonderous Items,Magic
Dust of Disappearance,Wonderous Items,Magic
